SourceFile,FileName,Make,Model,Orientation,FNumber,ExposureProgram,ExposureTime,ISO,ApertureValue,Flash,FocalLength,DigitalZoomRatio,SceneCaptureType,ImageWidth,ImageHeight
./S20 2 Wide/20221024_142550(0).jpg,20221024_142550(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142556.jpg,20221024_142556.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142542.jpg,20221024_142542.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142542(0).jpg,20221024_142542(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142620.jpg,20221024_142620.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142634.jpg,20221024_142634.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142608.jpg,20221024_142608.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142630.jpg,20221024_142630.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142624.jpg,20221024_142624.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142618.jpg,20221024_142618.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142546.jpg,20221024_142546.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142552.jpg,20221024_142552.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
